language,fake_or_real,path,id,source,variant,user_choice,user_score,have_answered,have_scored,cause
zh,False,NoiseAdded-interior15/zh/audio7252.wav,NoiseAdded-interior15_zh_7252,real,NoiseAdded-interior15,0,-1,1,-1,
zh,False,logfade30/zh/audio2149.wav,logfade30_zh_2149,real,logfade30,0,-1,1,-1,
zh,True,NoiseAdded-natural25/zh/audio2908.wav,NoiseAdded-natural25_zh_2908,audyo,NoiseAdded-natural25,1,1,1,1,"背景音,笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,True,NoiseAdded-human15/zh/audio3362.wav,NoiseAdded-human15_zh_3362,voicemaker,NoiseAdded-human15,1,1,1,1,"笑声或其它语气词,语速,情感,停顿或呼吸音"
zh,True,expfade20/zh/audio2986.wav,expfade20_zh_2986,googleapi,expfade20,1,1,1,1,"情感,音色"
zh,True,gaussadded15/zh/audio1117.wav,gaussadded15_zh_1117,audyo,gaussadded15,1,1,1,1,情感
zh,False,linefade10/zh/audio3462.wav,linefade10_zh_3462,real,linefade10,0,-1,1,-1,
zh,False,NoiseAdded-human15/zh/audio1783.wav,NoiseAdded-human15_zh_1783,real,NoiseAdded-human15,0,-1,1,-1,
zh,True,expfade30/zh/audio20.wav,expfade30_zh_20,voicemaker,expfade30,1,1,1,1,"情感,停顿或呼吸音,音色"
zh,False,NoiseAdded-animal15/zh/audio225.wav,NoiseAdded-animal15_zh_225,real,NoiseAdded-animal15,0,-1,1,-1,
zh,True,linefade10/zh/audio967.wav,linefade10_zh_967,texttovoice,linefade10,1,1,1,1,音色
zh,True,NoiseAdded-natural20/zh/audio1969.wav,NoiseAdded-natural20_zh_1969,vallex,NoiseAdded-natural20,0,2,1,1,背景音
zh,False,TimeScaling105/zh/audio1948.wav,TimeScaling105_zh_1948,real,TimeScaling105,0,-1,1,-1,
zh,False,Alldataset/zh/audio7229.wav,Alldataset_zh_7229,real,Alldataset,1,-1,1,-1,
zh,True,logfade20/zh/audio1776.wav,logfade20_zh_1776,Bark,logfade20,1,1,1,1,音色
zh,True,TimeScaling110/zh/audio3529.wav,TimeScaling110_zh_3529,RBVC,TimeScaling110,1,2,1,1,背景音
zh,False,NoiseAdded-interior20/zh/audio2179.wav,NoiseAdded-interior20_zh_2179,real,NoiseAdded-interior20,0,-1,1,-1,
zh,False,linefade30/zh/audio3101.wav,linefade30_zh_3101,real,linefade30,0,-1,1,-1,
zh,True,Alldataset44k/zh/audio3363.wav,Alldataset44k_zh_3363,GPT_SoVITS,Alldataset44k,0,2,1,1,有股AI味道，磁性的感觉
zh,False,NoiseAdded-exterior25/zh/audio1041.wav,NoiseAdded-exterior25_zh_1041,real,NoiseAdded-exterior25,1,-1,1,-1,
zh,False,NoiseAdded-natural25/zh/audio780.wav,NoiseAdded-natural25_zh_780,real,NoiseAdded-natural25,0,-1,1,-1,
zh,False,Re-Alldataset/zh/audio272.wav,Re-Alldataset_zh_272,real,Re-Alldataset,0,-1,1,-1,
zh,False,volume75/zh/audio2407.wav,volume75_zh_2407,real,volume75,0,-1,1,-1,
zh,False,NoiseAdded-human20/zh/audio233.wav,NoiseAdded-human20_zh_233,real,NoiseAdded-human20,0,-1,1,-1,
zh,True,volume75/zh/audio1440.wav,volume75_zh_1440,voiser,volume75,1,1,1,1,音色
zh,False,NoiseAdded-animal25/zh/audio896.wav,NoiseAdded-animal25_zh_896,real,NoiseAdded-animal25,0,-1,1,-1,
zh,True,NoiseAdded-exterior15/zh/audio129.wav,NoiseAdded-exterior15_zh_129,StarGan,NoiseAdded-exterior15,1,1,1,1,背景音
zh,False,Alldataset44k/zh/audio3561.wav,Alldataset44k_zh_3561,real,Alldataset44k,0,-1,1,-1,
zh,True,logfade10/zh/audio1995.wav,logfade10_zh_1995,RBVC,logfade10,1,3,1,1,"笑声或其它语气词,语速,停顿或呼吸音"
zh,True,NoiseAdded-animal15/zh/audio1411.wav,NoiseAdded-animal15_zh_1411,naturalreader,NoiseAdded-animal15,1,1,1,1,音色
zh,True,linefade30/zh/audio771.wav,linefade30_zh_771,StarGan,linefade30,1,3,1,1,笑声或其它语气词
zh,True,TimeScaling95/zh/audio213.wav,TimeScaling95_zh_213,OpenVoice,TimeScaling95,1,2,1,1,"笑声或其它语气词,语速,停顿或呼吸音"
zh,True,volume150/zh/audio153.wav,volume150_zh_153,voiser,volume150,1,1,1,1,笑声或其它语气词
zh,False,gaussadded15/zh/audio3006.wav,gaussadded15_zh_3006,real,gaussadded15,0,-1,1,-1,
zh,True,logfade30/zh/audio7570.wav,logfade30_zh_7570,ChatTTS,logfade30,0,2,1,1,有股AI味道，磁性的感觉
zh,True,volume125/zh/audio178.wav,volume125_zh_178,OpenVoice,volume125,1,2,1,1,1
zh,True,NoiseAdded-exterior20/zh/audio2639.wav,NoiseAdded-exterior20_zh_2639,Bark,NoiseAdded-exterior20,1,1,1,1,音色
zh,False,NoiseAdded-natural20/zh/audio1111.wav,NoiseAdded-natural20_zh_1111,real,NoiseAdded-natural20,1,-1,1,-1,
zh,False,Alldataset32K/zh/audio2427.wav,Alldataset32K_zh_2427,real,Alldataset32K,0,-1,1,-1,
zh,False,volume125/zh/audio7564.wav,volume125_zh_7564,real,volume125,0,-1,1,-1,
zh,False,TimeScaling90/zh/audio2889.wav,TimeScaling90_zh_2889,real,TimeScaling90,1,-1,1,-1,
zh,False,gaussadded25/zh/audio907.wav,gaussadded25_zh_907,real,gaussadded25,0,-1,1,-1,
zh,True,gaussadded25/zh/audio1686.wav,gaussadded25_zh_1686,RBVC,gaussadded25,1,1,1,1,奇怪回音
zh,False,NoiseAdded-human25/zh/audio224.wav,NoiseAdded-human25_zh_224,real,NoiseAdded-human25,0,-1,1,-1,
zh,True,TimeScaling90/zh/audio1665.wav,TimeScaling90_zh_1665,vallex,TimeScaling90,1,1,1,1,停顿或呼吸音
zh,False,TimeScaling95/zh/audio3373.wav,TimeScaling95_zh_3373,real,TimeScaling95,1,-1,1,-1,
zh,True,gaussadded20/zh/audio1961.wav,gaussadded20_zh_1961,xtts_v2,gaussadded20,1,1,1,1,停顿或呼吸音
zh,True,NoiseAdded-interior15/zh/audio169.wav,NoiseAdded-interior15_zh_169,GPT_SoVITS,NoiseAdded-interior15,1,1,1,1,"背景音,停顿或呼吸音"
zh,True,Re-Alldataset/zh/audio3128.wav,Re-Alldataset_zh_3128,naturalreader,Re-Alldataset,1,1,1,1,音色
zh,False,linefade20/zh/audio207.wav,linefade20_zh_207,real,linefade20,0,-1,1,-1,
zh,True,NoiseAdded-natural15/zh/audio1703.wav,NoiseAdded-natural15_zh_1703,texttovoice,NoiseAdded-natural15,1,1,1,1,背景音
zh,False,logfade10/zh/audio1040.wav,logfade10_zh_1040,real,logfade10,0,-1,1,-1,
zh,True,NoiseAdded-human20/zh/audio7560.wav,NoiseAdded-human20_zh_7560,ChatTTS,NoiseAdded-human20,1,1,1,1,停顿或呼吸音
zh,False,volume150/zh/audio818.wav,volume150_zh_818,real,volume150,0,-1,1,-1,
zh,False,expfade30/zh/audio535.wav,expfade30_zh_535,real,expfade30,1,-1,1,-1,
zh,True,NoiseAdded-animal25/zh/audio3161.wav,NoiseAdded-animal25_zh_3161,naturalreader,NoiseAdded-animal25,1,1,1,1,音色
zh,False,NoiseAdded-exterior20/zh/audio3344.wav,NoiseAdded-exterior20_zh_3344,real,NoiseAdded-exterior20,1,-1,1,-1,
zh,True,NoiseAdded-interior20/zh/audio3115.wav,NoiseAdded-interior20_zh_3115,voicemaker,NoiseAdded-interior20,1,1,1,1,音色
zh,True,TimeScaling105/zh/audio2082.wav,TimeScaling105_zh_2082,freetts,TimeScaling105,1,1,1,1,音色
zh,True,NoiseAdded-exterior25/zh/audio18.wav,NoiseAdded-exterior25_zh_18,xtts_v2,NoiseAdded-exterior25,1,2,1,1,停顿或呼吸音
zh,True,linefade20/zh/audio132.wav,linefade20_zh_132,xtts_v2,linefade20,1,2,1,1,"语速,情感,停顿或呼吸音"
zh,False,NoiseAdded-exterior15/zh/audio880.wav,NoiseAdded-exterior15_zh_880,real,NoiseAdded-exterior15,1,-1,1,-1,
zh,True,volume50/zh/audio58.wav,volume50_zh_58,aivoov,volume50,1,1,1,1,"情感,停顿或呼吸音"
zh,False,NoiseAdded-animal20/zh/audio3485.wav,NoiseAdded-animal20_zh_3485,real,NoiseAdded-animal20,1,-1,1,-1,
zh,True,NoiseAdded-animal20/zh/audio871.wav,NoiseAdded-animal20_zh_871,GPT_SoVITS,NoiseAdded-animal20,1,1,1,1,背景音
zh,True,NoiseAdded-interior25/zh/audio381.wav,NoiseAdded-interior25_zh_381,freetts,NoiseAdded-interior25,1,1,1,1,背景音
zh,False,logfade20/zh/audio3075.wav,logfade20_zh_3075,real,logfade20,0,-1,1,-1,
zh,True,Alldataset/zh/audio897.wav,Alldataset_zh_897,OpenVoice,Alldataset,1,3,1,1,"情感,停顿或呼吸音"
zh,True,Alldataset32K/zh/audio1751.wav,Alldataset32K_zh_1751,audyo,Alldataset32K,1,1,1,1,音色
zh,False,TimeScaling110/zh/audio2029.wav,TimeScaling110_zh_2029,real,TimeScaling110,0,-1,1,-1,
zh,True,NoiseAdded-human25/zh/audio396.wav,NoiseAdded-human25_zh_396,vallex,NoiseAdded-human25,1,1,1,1,生成疵了的感觉
zh,False,gaussadded20/zh/audio852.wav,gaussadded20_zh_852,real,gaussadded20,0,-1,1,-1,
zh,False,expfade10/zh/audio1793.wav,expfade10_zh_1793,real,expfade10,0,-1,1,-1,
zh,False,NoiseAdded-interior25/zh/audio2397.wav,NoiseAdded-interior25_zh_2397,real,NoiseAdded-interior25,1,-1,1,-1,
zh,True,expfade10/zh/audio2185.wav,expfade10_zh_2185,unmixr,expfade10,1,1,1,1,音色
zh,False,volume50/zh/audio3298.wav,volume50_zh_3298,real,volume50,1,-1,1,-1,
zh,False,expfade20/zh/audio586.wav,expfade20_zh_586,real,expfade20,1,-1,1,-1,
zh,False,NoiseAdded-natural15/zh/audio1141.wav,NoiseAdded-natural15_zh_1141,real,NoiseAdded-natural15,0,-1,1,-1,
