language,fake_or_real,path,id,source,variant,user_choice,user_score,have_answered,have_scored,cause
en,True,NoiseAdded-natural25/en/audio1457.wav,NoiseAdded-natural25_en_1457,textmagic,NoiseAdded-natural25,0,2,1,1,"Speech rate,Emotion"
en,True,NoiseAdded-human15/en/audio796.wav,NoiseAdded-human15_en_796,freetts,NoiseAdded-human15,1,2,1,1,"Speech rate,Emotion,Pauses or breathing sounds"
en,False,logfade30/en/audio1615.wav,logfade30_en_1615,real,logfade30,0,-1,1,-1,
en,True,expfade10/en/audio1552.wav,expfade10_en_1552,diffganTTS,expfade10,1,1,1,1,"Speech rate,Emotion,无升降起伏音调，无停顿"
en,False,volume125/en/audio6093.wav,volume125_en_6093,real,volume125,1,-1,1,-1,
en,True,NoiseAdded-exterior25/en/audio6203.wav,NoiseAdded-exterior25_en_6203,xtts_v2,NoiseAdded-exterior25,0,3,1,1,"Speech rate,Emotion,Pauses or breathing sounds"
en,True,Alldataset32K/en/audio5311.wav,Alldataset32K_en_5311,tortoise-tts,Alldataset32K,0,3,1,1,"Speech rate,Emotion,Pauses or breathing sounds"
en,False,NoiseAdded-human15/en/audio2109.wav,NoiseAdded-human15_en_2109,real,NoiseAdded-human15,1,-1,1,-1,
en,True,NoiseAdded-human25/en/audio6207.wav,NoiseAdded-human25_en_6207,xtts_v2,NoiseAdded-human25,1,2,1,1,"Speech rate,Emotion"
en,False,NoiseAdded-human20/en/audio151.wav,NoiseAdded-human20_en_151,real,NoiseAdded-human20,1,-1,1,-1,
en,True,NoiseAdded-interior15/en/audio258.wav,NoiseAdded-interior15_en_258,styletts,NoiseAdded-interior15,1,3,1,1,"Speech rate,Emotion,Pauses or breathing sounds"
en,True,Alldataset/en/audio212.wav,Alldataset_en_212,RBVC,Alldataset,0,1,1,1,"Emotion,Pauses or breathing sounds"
en,True,NoiseAdded-human20/en/audio5303.wav,NoiseAdded-human20_en_5303,tortoise-tts,NoiseAdded-human20,1,3,1,1,"Speech rate,Emotion,Pauses or breathing sounds"
en,False,volume50/en/audio3366.wav,volume50_en_3366,real,volume50,0,-1,1,-1,
en,True,gaussadded15/en/audio5960.wav,gaussadded15_en_5960,voxify,gaussadded15,0,1,1,1,"Emotion,Pauses or breathing sounds"
en,False,volume75/en/audio2127.wav,volume75_en_2127,real,volume75,1,-1,1,-1,
en,False,NoiseAdded-human25/en/audio4810.wav,NoiseAdded-human25_en_4810,real,NoiseAdded-human25,0,-1,1,-1,
