language,fake_or_real,path,id,source,variant,user_choice,user_score,have_answered,have_scored,cause
en,True,NoiseAdded-exterior25/en/audio4751.wav,NoiseAdded-exterior25_en_4751,diffganTTS,NoiseAdded-exterior25,1,3,1,1,"Speech rate,Emotion"
en,True,NoiseAdded-interior25/en/audio1187.wav,NoiseAdded-interior25_en_1187,RBVC,NoiseAdded-interior25,0,3,1,1,Speech rate
en,True,NoiseAdded-human25/en/audio6525.wav,NoiseAdded-human25_en_6525,openai,NoiseAdded-human25,0,3,1,1,"Speech rate,Emotion"
en,True,NoiseAdded-interior15/en/audio1312.wav,NoiseAdded-interior15_en_1312,texttovoice,NoiseAdded-interior15,0,3,1,1,Background noise
en,False,linefade30/en/audio3929.wav,linefade30_en_3929,real,linefade30,0,-1,1,-1,
en,True,NoiseAdded-animal25/en/audio1289.wav,NoiseAdded-animal25_en_1289,GPT_SoVITS,NoiseAdded-animal25,0,3,1,1,"Voice volume,Emotion,Pauses or breathing sounds"
en,True,Alldataset32K/en/audio2545.wav,Alldataset32K_en_2545,styletts,Alldataset32K,0,3,1,1,"Speech rate,Emotion"
en,True,expfade10/en/audio2663.wav,expfade10_en_2663,resemble-AI,expfade10,0,3,1,1,"Speech rate,Emotion,Pauses or breathing sounds"
en,False,gaussadded20/en/audio3351.wav,gaussadded20_en_3351,real,gaussadded20,0,-1,1,-1,
en,False,NoiseAdded-interior20/en/audio2185.wav,NoiseAdded-interior20_en_2185,real,NoiseAdded-interior20,0,-1,1,-1,
en,True,expfade30/en/audio4194.wav,expfade30_en_4194,googleapi,expfade30,0,3,1,1,"Emotion,Pauses or breathing sounds"
en,False,volume75/en/audio1488.wav,volume75_en_1488,real,volume75,0,-1,1,-1,
en,False,NoiseAdded-natural15/en/audio1064.wav,NoiseAdded-natural15_en_1064,real,NoiseAdded-natural15,0,-1,1,-1,
en,False,expfade10/en/audio5068.wav,expfade10_en_5068,real,expfade10,0,-1,1,-1,
en,True,TimeScaling105/en/audio6422.wav,TimeScaling105_en_6422,voxify,TimeScaling105,0,3,1,1,"Emotion,Pauses or breathing sounds,音色"
en,True,Re-Alldataset/en/audio3760.wav,Re-Alldataset_en_3760,openai,Re-Alldataset,1,3,1,1,音色
en,False,NoiseAdded-exterior15/en/audio4530.wav,NoiseAdded-exterior15_en_4530,real,NoiseAdded-exterior15,0,-1,1,-1,
en,True,TimeScaling95/en/audio1132.wav,TimeScaling95_en_1132,tortoise-tts,TimeScaling95,0,3,1,1,"Speech rate,Emotion,Pauses or breathing sounds"
en,True,linefade30/en/audio3081.wav,linefade30_en_3081,aivoov,linefade30,0,2,1,1,"Laughter or other interjections,Speech rate,Pauses or breathing sounds"
en,False,NoiseAdded-exterior20/en/audio6157.wav,NoiseAdded-exterior20_en_6157,real,NoiseAdded-exterior20,0,-1,1,-1,
en,True,NoiseAdded-animal15/en/audio3495.wav,NoiseAdded-animal15_en_3495,Bark,NoiseAdded-animal15,0,3,1,1,"Background noise,Emotion,Pauses or breathing sounds"
